 Height, LAD1, LAD2, LAD3
  0.0000,  0.0000,  0.0000,  0.0000
  0.0500,  0.0000,  0.3139,  0.0000
  0.1000,  0.0000,  0.5969,  0.0000
  0.1500,  0.0000,  0.8511,  0.0000
  0.2000,  0.0000,  1.0785,  0.0000
  0.2500,  0.0000,  1.2809,  0.0000
  0.3000,  0.0000,  1.4601,  0.0000
  0.3500,  0.0000,  1.6177,  0.0000
  0.4000,  0.0000,  1.7552,  0.0000
  0.4500,  0.0000,  1.8741,  0.0000
  0.5000,  0.0000,  1.9758,  0.0000
  0.5500,  0.0000,  2.0617,  0.0000
  0.6000,  0.0000,  2.1329,  0.0000
  0.6500,  0.0000,  2.1907,  0.0000
  0.7000,  0.0000,  2.2360,  0.0000
  0.7500,  0.0000,  2.2700,  0.0000
  0.8000,  0.0000,  2.2936,  0.0000
  0.8500,  0.0000,  2.3077,  0.0000
  0.9000,  0.0000,  2.3131,  0.0000
  0.9500,  0.0000,  2.3108,  0.0000
  1.0000,  0.0000,  2.3013,  0.0001
  1.0500,  0.0000,  2.2854,  0.0001
  1.1000,  0.0000,  2.2638,  0.0002
  1.1500,  0.0000,  2.2370,  0.0002
  1.2000,  0.0000,  2.2057,  0.0003
  1.2500,  0.0000,  2.1704,  0.0005
  1.3000,  0.0000,  2.1315,  0.0007
  1.3500,  0.0000,  2.0895,  0.0009
  1.4000,  0.0000,  2.0448,  0.0012
  1.4500,  0.0000,  1.9979,  0.0017
  1.5000,  0.0000,  1.9491,  0.0022
  1.5500,  0.0000,  1.8986,  0.0029
  1.6000,  0.0000,  1.8470,  0.0037
  1.6500,  0.0000,  1.7943,  0.0048
  1.7000,  0.0000,  1.7409,  0.0061
  1.7500,  0.0000,  1.6870,  0.0076
  1.8000,  0.0000,  1.6329,  0.0095
  1.8500,  0.0000,  1.5787,  0.0118
  1.9000,  0.0000,  1.5246,  0.0145
  1.9500,  0.0000,  1.4707,  0.0176
  2.0000,  0.0000,  1.4173,  0.0213
  2.0500,  0.0000,  1.3645,  0.0256
  2.1000,  0.0000,  1.3123,  0.0306
  2.1500,  0.0000,  1.2609,  0.0364
  2.2000,  0.0000,  1.2104,  0.0429
  2.2500,  0.0000,  1.1608,  0.0504
  2.3000,  0.0000,  1.1122,  0.0589
  2.3500,  0.0000,  1.0647,  0.0684
  2.4000,  0.0000,  1.0183,  0.0791
  2.4500,  0.0000,  0.9731,  0.0910
  2.5000,  0.0000,  0.9292,  0.1042
  2.5500,  0.0001,  0.8864,  0.1188
  2.6000,  0.0001,  0.8450,  0.1348
  2.6500,  0.0001,  0.8048,  0.1524
  2.7000,  0.0001,  0.7658,  0.1717
  2.7500,  0.0001,  0.7282,  0.1925
  2.8000,  0.0001,  0.6919,  0.2151
  2.8500,  0.0002,  0.6568,  0.2395
  2.9000,  0.0002,  0.6231,  0.2657
  2.9500,  0.0002,  0.5906,  0.2937
  3.0000,  0.0003,  0.5593,  0.3236
  3.0500,  0.0003,  0.5293,  0.3553
  3.1000,  0.0004,  0.5005,  0.3890
  3.1500,  0.0004,  0.4729,  0.4244
  3.2000,  0.0005,  0.4465,  0.4617
  3.2500,  0.0006,  0.4212,  0.5008
  3.3000,  0.0007,  0.3970,  0.5416
  3.3500,  0.0008,  0.3739,  0.5841
  3.4000,  0.0009,  0.3519,  0.6281
  3.4500,  0.0010,  0.3310,  0.6736
  3.5000,  0.0012,  0.3110,  0.7204
  3.5500,  0.0014,  0.2920,  0.7685
  3.6000,  0.0015,  0.2739,  0.8177
  3.6500,  0.0018,  0.2568,  0.8679
  3.7000,  0.0020,  0.2405,  0.9188
  3.7500,  0.0023,  0.2251,  0.9703
  3.8000,  0.0026,  0.2105,  1.0222
  3.8500,  0.0029,  0.1967,  1.0744
  3.9000,  0.0033,  0.1836,  1.1265
  3.9500,  0.0037,  0.1713,  1.1785
  4.0000,  0.0042,  0.1596,  1.2300
  4.0500,  0.0047,  0.1487,  1.2809
  4.1000,  0.0052,  0.1383,  1.3309
  4.1500,  0.0059,  0.1286,  1.3798
  4.2000,  0.0065,  0.1194,  1.4274
  4.2500,  0.0073,  0.1108,  1.4735
  4.3000,  0.0081,  0.1027,  1.5178
  4.3500,  0.0090,  0.0952,  1.5601
  4.4000,  0.0101,  0.0881,  1.6003
  4.4500,  0.0112,  0.0814,  1.6380
  4.5000,  0.0124,  0.0752,  1.6732
  4.5500,  0.0137,  0.0694,  1.7056
  4.6000,  0.0151,  0.0640,  1.7350
  4.6500,  0.0167,  0.0590,  1.7614
  4.7000,  0.0184,  0.0543,  1.7845
  4.7500,  0.0203,  0.0499,  1.8043
  4.8000,  0.0223,  0.0458,  1.8207
  4.8500,  0.0245,  0.0420,  1.8335
  4.9000,  0.0269,  0.0385,  1.8427
  4.9500,  0.0294,  0.0352,  1.8482
  5.0000,  0.0322,  0.0322,  1.8501
  5.0500,  0.0352,  0.0294,  1.8482
  5.1000,  0.0385,  0.0269,  1.8427
  5.1500,  0.0420,  0.0245,  1.8335
  5.2000,  0.0458,  0.0223,  1.8207
  5.2500,  0.0499,  0.0203,  1.8043
  5.3000,  0.0543,  0.0184,  1.7845
  5.3500,  0.0590,  0.0167,  1.7614
  5.4000,  0.0640,  0.0151,  1.7350
  5.4500,  0.0694,  0.0137,  1.7056
  5.5000,  0.0752,  0.0124,  1.6732
  5.5500,  0.0814,  0.0112,  1.6380
  5.6000,  0.0881,  0.0101,  1.6003
  5.6500,  0.0952,  0.0090,  1.5601
  5.7000,  0.1027,  0.0081,  1.5178
  5.7500,  0.1108,  0.0073,  1.4735
  5.8000,  0.1194,  0.0065,  1.4274
  5.8500,  0.1286,  0.0059,  1.3798
  5.9000,  0.1383,  0.0052,  1.3309
  5.9500,  0.1487,  0.0047,  1.2809
  6.0000,  0.1596,  0.0042,  1.2300
  6.0500,  0.1713,  0.0037,  1.1785
  6.1000,  0.1836,  0.0033,  1.1265
  6.1500,  0.1967,  0.0029,  1.0744
  6.2000,  0.2105,  0.0026,  1.0222
  6.2500,  0.2251,  0.0023,  0.9703
  6.3000,  0.2405,  0.0020,  0.9188
  6.3500,  0.2568,  0.0018,  0.8679
  6.4000,  0.2739,  0.0015,  0.8177
  6.4500,  0.2920,  0.0014,  0.7685
  6.5000,  0.3110,  0.0012,  0.7204
  6.5500,  0.3310,  0.0010,  0.6736
  6.6000,  0.3519,  0.0009,  0.6281
  6.6500,  0.3739,  0.0008,  0.5841
  6.7000,  0.3970,  0.0007,  0.5416
  6.7500,  0.4212,  0.0006,  0.5008
  6.8000,  0.4465,  0.0005,  0.4617
  6.8500,  0.4729,  0.0004,  0.4244
  6.9000,  0.5005,  0.0004,  0.3890
  6.9500,  0.5293,  0.0003,  0.3553
  7.0000,  0.5593,  0.0003,  0.3236
  7.0500,  0.5906,  0.0002,  0.2937
  7.1000,  0.6231,  0.0002,  0.2657
  7.1500,  0.6568,  0.0002,  0.2395
  7.2000,  0.6919,  0.0001,  0.2151
  7.2500,  0.7282,  0.0001,  0.1925
  7.3000,  0.7658,  0.0001,  0.1717
  7.3500,  0.8048,  0.0001,  0.1524
  7.4000,  0.8450,  0.0001,  0.1348
  7.4500,  0.8864,  0.0001,  0.1188
  7.5000,  0.9292,  0.0000,  0.1042
  7.5500,  0.9731,  0.0000,  0.0910
  7.6000,  1.0183,  0.0000,  0.0791
  7.6500,  1.0647,  0.0000,  0.0684
  7.7000,  1.1122,  0.0000,  0.0589
  7.7500,  1.1608,  0.0000,  0.0504
  7.8000,  1.2104,  0.0000,  0.0429
  7.8500,  1.2609,  0.0000,  0.0364
  7.9000,  1.3123,  0.0000,  0.0306
  7.9500,  1.3645,  0.0000,  0.0256
  8.0000,  1.4173,  0.0000,  0.0213
  8.0500,  1.4707,  0.0000,  0.0176
  8.1000,  1.5246,  0.0000,  0.0145
  8.1500,  1.5787,  0.0000,  0.0118
  8.2000,  1.6329,  0.0000,  0.0095
  8.2500,  1.6870,  0.0000,  0.0076
  8.3000,  1.7409,  0.0000,  0.0061
  8.3500,  1.7943,  0.0000,  0.0048
  8.4000,  1.8470,  0.0000,  0.0037
  8.4500,  1.8986,  0.0000,  0.0029
  8.5000,  1.9491,  0.0000,  0.0022
  8.5500,  1.9979,  0.0000,  0.0017
  8.6000,  2.0448,  0.0000,  0.0012
  8.6500,  2.0895,  0.0000,  0.0009
  8.7000,  2.1315,  0.0000,  0.0007
  8.7500,  2.1704,  0.0000,  0.0005
  8.8000,  2.2057,  0.0000,  0.0003
  8.8500,  2.2370,  0.0000,  0.0002
  8.9000,  2.2638,  0.0000,  0.0002
  8.9500,  2.2854,  0.0000,  0.0001
  9.0000,  2.3013,  0.0000,  0.0001
  9.0500,  2.3108,  0.0000,  0.0000
  9.1000,  2.3131,  0.0000,  0.0000
  9.1500,  2.3077,  0.0000,  0.0000
  9.2000,  2.2936,  0.0000,  0.0000
  9.2500,  2.2700,  0.0000,  0.0000
  9.3000,  2.2360,  0.0000,  0.0000
  9.3500,  2.1907,  0.0000,  0.0000
  9.4000,  2.1329,  0.0000,  0.0000
  9.4500,  2.0617,  0.0000,  0.0000
  9.5000,  1.9758,  0.0000,  0.0000
  9.5500,  1.8741,  0.0000,  0.0000
  9.6000,  1.7552,  0.0000,  0.0000
  9.6500,  1.6177,  0.0000,  0.0000
  9.7000,  1.4601,  0.0000,  0.0000
  9.7500,  1.2809,  0.0000,  0.0000
  9.8000,  1.0785,  0.0000,  0.0000
  9.8500,  0.8511,  0.0000,  0.0000
  9.9000,  0.5969,  0.0000,  0.0000
  9.9500,  0.3139,  0.0000,  0.0000
 10.0000,  0.0000,  0.0000,  0.0000
