 Name, lad_ave, lad_std, angle, beta_pdf, beta_lad, exact_pdf, exact_lad
Planophile  ,  0.3231,  0.4671,  0.0873,  1.2902,  0.1126,  1.2636,  0.1103
Planophile  ,  0.3231,  0.4671,  0.1745,  1.3052,  0.1139,  1.2348,  0.1078
Planophile  ,  0.3231,  0.4671,  0.2618,  1.2482,  0.1089,  1.1879,  0.1037
Planophile  ,  0.3231,  0.4671,  0.3491,  1.1607,  0.1013,  1.1243,  0.0981
Planophile  ,  0.3231,  0.4671,  0.4363,  1.0578,  0.0923,  1.0458,  0.0913
Planophile  ,  0.3231,  0.4671,  0.5236,  0.9474,  0.0827,  0.9549,  0.0833
Planophile  ,  0.3231,  0.4671,  0.6109,  0.8340,  0.0728,  0.8544,  0.0746
Planophile  ,  0.3231,  0.4671,  0.6981,  0.7210,  0.0629,  0.7472,  0.0652
Planophile  ,  0.3231,  0.4671,  0.7854,  0.6106,  0.0533,  0.6366,  0.0556
Planophile  ,  0.3231,  0.4671,  0.8727,  0.5049,  0.0441,  0.5261,  0.0459
Planophile  ,  0.3231,  0.4671,  0.9599,  0.4053,  0.0354,  0.4189,  0.0366
Planophile  ,  0.3231,  0.4671,  1.0472,  0.3132,  0.0273,  0.3183,  0.0278
Planophile  ,  0.3231,  0.4671,  1.1345,  0.2300,  0.0201,  0.2274,  0.0198
Planophile  ,  0.3231,  0.4671,  1.2217,  0.1570,  0.0137,  0.1489,  0.0130
Planophile  ,  0.3231,  0.4671,  1.3090,  0.0955,  0.0083,  0.0853,  0.0074
Planophile  ,  0.3231,  0.4671,  1.3963,  0.0472,  0.0041,  0.0384,  0.0034
Planophile  ,  0.3231,  0.4671,  1.4835,  0.0140,  0.0012,  0.0097,  0.0008
Erectophile ,  0.3229,  1.1083,  0.0873,  0.0138,  0.0012,  0.0097,  0.0008
Erectophile ,  0.3229,  1.1083,  0.1745,  0.0463,  0.0040,  0.0384,  0.0034
Erectophile ,  0.3229,  1.1083,  0.2618,  0.0938,  0.0082,  0.0853,  0.0074
Erectophile ,  0.3229,  1.1083,  0.3491,  0.1541,  0.0134,  0.1489,  0.0130
Erectophile ,  0.3229,  1.1083,  0.4363,  0.2258,  0.0197,  0.2274,  0.0198
Erectophile ,  0.3229,  1.1083,  0.5236,  0.3077,  0.0268,  0.3183,  0.0278
Erectophile ,  0.3229,  1.1083,  0.6109,  0.3984,  0.0348,  0.4189,  0.0366
Erectophile ,  0.3229,  1.1083,  0.6981,  0.4969,  0.0434,  0.5261,  0.0459
Erectophile ,  0.3229,  1.1083,  0.7854,  0.6018,  0.0525,  0.6366,  0.0556
Erectophile ,  0.3229,  1.1083,  0.8727,  0.7117,  0.0621,  0.7472,  0.0652
Erectophile ,  0.3229,  1.1083,  0.9599,  0.8249,  0.0720,  0.8544,  0.0746
Erectophile ,  0.3229,  1.1083,  1.0472,  0.9393,  0.0820,  0.9549,  0.0833
Erectophile ,  0.3229,  1.1083,  1.1345,  1.0519,  0.0918,  1.0458,  0.0913
Erectophile ,  0.3229,  1.1083,  1.2217,  1.1584,  0.1011,  1.1243,  0.0981
Erectophile ,  0.3229,  1.1083,  1.3090,  1.2518,  0.1092,  1.1879,  0.1037
Erectophile ,  0.3229,  1.1083,  1.3963,  1.3182,  0.1150,  1.2348,  0.1078
Erectophile ,  0.3229,  1.1083,  1.4835,  1.3191,  0.1151,  1.2636,  0.1103
Plagiophile ,  0.2845,  0.7854,  0.0873,  0.0341,  0.0030,  0.0384,  0.0034
Plagiophile ,  0.2845,  0.7854,  0.1745,  0.1472,  0.0128,  0.1489,  0.0130
Plagiophile ,  0.2845,  0.7854,  0.2618,  0.3237,  0.0282,  0.3183,  0.0278
Plagiophile ,  0.2845,  0.7854,  0.3491,  0.5365,  0.0468,  0.5261,  0.0459
Plagiophile ,  0.2845,  0.7854,  0.4363,  0.7570,  0.0661,  0.7472,  0.0652
Plagiophile ,  0.2845,  0.7854,  0.5236,  0.9589,  0.0837,  0.9549,  0.0833
Plagiophile ,  0.2845,  0.7854,  0.6109,  1.1198,  0.0977,  1.1243,  0.0981
Plagiophile ,  0.2845,  0.7854,  0.6981,  1.2232,  0.1067,  1.2348,  0.1078
Plagiophile ,  0.2845,  0.7854,  0.7854,  1.2588,  0.1099,  1.2732,  0.1111
Plagiophile ,  0.2845,  0.7854,  0.8727,  1.2232,  0.1067,  1.2348,  0.1078
Plagiophile ,  0.2845,  0.7854,  0.9599,  1.1198,  0.0977,  1.1243,  0.0981
Plagiophile ,  0.2845,  0.7854,  1.0472,  0.9589,  0.0837,  0.9549,  0.0833
Plagiophile ,  0.2845,  0.7854,  1.1345,  0.7570,  0.0661,  0.7472,  0.0652
Plagiophile ,  0.2845,  0.7854,  1.2217,  0.5365,  0.0468,  0.5261,  0.0459
Plagiophile ,  0.2845,  0.7854,  1.3090,  0.3237,  0.0282,  0.3183,  0.0278
Plagiophile ,  0.2845,  0.7854,  1.3963,  0.1472,  0.0128,  0.1489,  0.0130
Plagiophile ,  0.2845,  0.7854,  1.4835,  0.0341,  0.0030,  0.0384,  0.0034
Uniform     ,  0.4534,  0.7854,  0.0873,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.1745,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.2618,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.3491,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.4363,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.5236,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.6109,  0.6367,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.6981,  0.6367,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.7854,  0.6367,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.8727,  0.6367,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  0.9599,  0.6367,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  1.0472,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  1.1345,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  1.2217,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  1.3090,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  1.3963,  0.6366,  0.0556,  0.6366,  0.0556
Uniform     ,  0.4534,  0.7854,  1.4835,  0.6366,  0.0556,  0.6366,  0.0556
Spherical   ,  0.3761,  1.0001,  0.0873,  0.0956,  0.0083,  0.0872,  0.0076
Spherical   ,  0.3761,  1.0001,  0.1745,  0.1812,  0.0158,  0.1736,  0.0152
Spherical   ,  0.3761,  1.0001,  0.2618,  0.2627,  0.0229,  0.2588,  0.0226
