 Height, LAD1, LAD2, LAD3
  0.0000, 10.0000,     NaN, -0.0000
  0.1000,  0.0067,  0.0001,  0.0000
  0.2000,  0.0186,  0.0004,  0.0000
  0.3000,  0.0337,  0.0012,  0.0000
  0.4000,  0.0511,  0.0024,  0.0000
  0.5000,  0.0703,  0.0042,  0.0000
  0.6000,  0.0910,  0.0065,  0.0000
  0.7000,  0.1128,  0.0095,  0.0000
  0.8000,  0.1356,  0.0131,  0.0000
  0.9000,  0.1592,  0.0174,  0.0000
  1.0000,  0.1833,  0.0224,  0.0000
  1.1000,  0.2080,  0.0281,  0.0000
  1.2000,  0.2330,  0.0346,  0.0000
  1.3000,  0.2583,  0.0417,  0.0000
  1.4000,  0.2837,  0.0497,  0.0000
  1.5000,  0.3092,  0.0583,  0.0000
  1.6000,  0.3346,  0.0677,  0.0000
  1.7000,  0.3599,  0.0779,  0.0000
  1.8000,  0.3851,  0.0888,  0.0000
  1.9000,  0.4100,  0.1004,  0.0000
  2.0000,  0.4346,  0.1127,  0.0000
  2.1000,  0.4589,  0.1257,  0.0000
  2.2000,  0.4827,  0.1394,  0.0001
  2.3000,  0.5061,  0.1538,  0.0001
  2.4000,  0.5290,  0.1689,  0.0002
  2.5000,  0.5513,  0.1846,  0.0003
  2.6000,  0.5731,  0.2009,  0.0004
  2.7000,  0.5942,  0.2178,  0.0005
  2.8000,  0.6147,  0.2352,  0.0008
  2.9000,  0.6344,  0.2532,  0.0011
  3.0000,  0.6535,  0.2717,  0.0015
  3.1000,  0.6718,  0.2907,  0.0020
  3.2000,  0.6893,  0.3102,  0.0027
  3.3000,  0.7060,  0.3301,  0.0036
  3.4000,  0.7218,  0.3503,  0.0047
  3.5000,  0.7369,  0.3710,  0.0061
  3.6000,  0.7510,  0.3919,  0.0079
  3.7000,  0.7642,  0.4131,  0.0102
  3.8000,  0.7766,  0.4346,  0.0129
  3.9000,  0.7880,  0.4563,  0.0163
  4.0000,  0.7984,  0.4781,  0.0204
  4.1000,  0.8079,  0.5001,  0.0253
  4.2000,  0.8164,  0.5222,  0.0313
  4.3000,  0.8240,  0.5442,  0.0383
  4.4000,  0.8306,  0.5663,  0.0467
  4.5000,  0.8361,  0.5884,  0.0565
  4.6000,  0.8407,  0.6103,  0.0680
  4.7000,  0.8442,  0.6321,  0.0813
  4.8000,  0.8468,  0.6537,  0.0967
  4.9000,  0.8483,  0.6750,  0.1144
  5.0000,  0.8488,  0.6961,  0.1346
  5.1000,  0.8483,  0.7168,  0.1575
  5.2000,  0.8468,  0.7371,  0.1834
  5.3000,  0.8442,  0.7569,  0.2125
  5.4000,  0.8407,  0.7762,  0.2451
  5.5000,  0.8361,  0.7950,  0.2813
  5.6000,  0.8306,  0.8132,  0.3213
  5.7000,  0.8240,  0.8306,  0.3653
  5.8000,  0.8164,  0.8474,  0.4134
  5.9000,  0.8079,  0.8633,  0.4658
  6.0000,  0.7984,  0.8784,  0.5224
  6.1000,  0.7880,  0.8926,  0.5833
  6.2000,  0.7766,  0.9058,  0.6484
  6.3000,  0.7642,  0.9179,  0.7176
  6.4000,  0.7510,  0.9290,  0.7905
  6.5000,  0.7369,  0.9389,  0.8670
  6.6000,  0.7218,  0.9475,  0.9466
  6.7000,  0.7060,  0.9549,  1.0288
  6.8000,  0.6893,  0.9609,  1.1130
  6.9000,  0.6718,  0.9655,  1.1984
  7.0000,  0.6535,  0.9685,  1.2841
  7.1000,  0.6344,  0.9701,  1.3693
  7.2000,  0.6147,  0.9699,  1.4527
  7.3000,  0.5942,  0.9681,  1.5331
  7.4000,  0.5731,  0.9645,  1.6093
  7.5000,  0.5513,  0.9591,  1.6798
  7.6000,  0.5290,  0.9517,  1.7432
  7.7000,  0.5061,  0.9423,  1.7978
  7.8000,  0.4827,  0.9309,  1.8422
  7.9000,  0.4589,  0.9174,  1.8746
  8.0000,  0.4346,  0.9016,  1.8936
  8.1000,  0.4100,  0.8835,  1.8978
  8.2000,  0.3851,  0.8631,  1.8858
  8.3000,  0.3599,  0.8402,  1.8566
  8.4000,  0.3346,  0.8148,  1.8093
  8.5000,  0.3092,  0.7868,  1.7434
  8.6000,  0.2837,  0.7562,  1.6589
  8.7000,  0.2583,  0.7228,  1.5563
  8.8000,  0.2330,  0.6865,  1.4365
  8.9000,  0.2080,  0.6473,  1.3012
  9.0000,  0.1833,  0.6051,  1.1530
  9.1000,  0.1592,  0.5599,  0.9950
  9.2000,  0.1356,  0.5115,  0.8313
  9.3000,  0.1128,  0.4598,  0.6669
  9.4000,  0.0910,  0.4048,  0.5076
  9.5000,  0.0703,  0.3464,  0.3596
  9.6000,  0.0511,  0.2844,  0.2298
  9.7000,  0.0337,  0.2189,  0.1248
  9.8000,  0.0186,  0.1497,  0.0504
  9.9000,  0.0067,  0.0768,  0.0099
 10.0000,     NaN, -0.0000,     NaN
